Collecting gyro data, hold still
gyro offsets
75, 31, 142

rotate slowly and carefully in 3D
5795, 10615, -11312, 661, 1099, 3480
7216, 10336, -11583, 995, 1263, 3325
6777, 10197, -10026, 1521, 1143, 2929
8471, 10549, -9396, 1740, 1097, 2691
8599, 10397, -8118, 2173, 1109, 2044
11378, 10349, -7554, 2416, 1050, 1503
10938, 8887, -8009, 2484, 1116, 1361
10090, 7125, -9671, 2411, 1154, 1455
10742, 7207, -10294, 2384, 1154, 1515
9406, 6648, -10673, 2376, 835, 1480
10110, 8281, -10114, 2289, 569, 1367
9002, 8425, -11021, 2050, 273, 1427
5609, 11472, -10467, 1450, -258, 1421
1816, 13223, -9651, 719, -798, 1421
-2776, 14780, -7019, 71, -1161, 1012
-3937, 15356, -2063, -247, -1359, 295
-4927, 14678, 2773, -250, -1288, -388
-3768, 14854, 5258, -96, -1152, -529
-2023, 13817, 7006, 339, -1124, -490
1800, 14547, 7208, 758, -1093, -68
2341, 14919, 5229, 675, -1162, 334
4218, 14618, 4581, 820, -1135, 736
5494, 14813, 4286, 889, -1011, 975
7887, 13516, 1585, 1089, -673, 1405
8540, 13521, 2368, 1059, -642, 1501
9750, 12937, -111, 951, -637, 1761
8207, 15391, 1705, 757, -724, 1870
8571, 13896, -428, 584, -798, 1951
9873, 14690, -127, 457, -833, 1821
9635, 13539, -1867, 371, -938, 1817
8879, 13696, 41, 409, -943, 1738
9429, 13243, -1314, 365, -906, 1699
9285, 12986, -1176, 184, -1011, 1645
9812, 12429, -2763, 246, -874, 1858
11617, 11799, -5321, 277, -661, 2184
11707, 9953, -6676, 361, -452, 2393
11411, 9004, -6894, 398, -442, 2368
12114, 7512, -7693, 577, -226, 2517
12285, 2923, -9733, 711, 422, 3029
12497, 2491, -11011, 723, 635, 3164
11321, -1538, -11367, 702, 1503, 3491
9818, -5025, -11058, 541, 2392, 3626
8498, -10700, -10011, 273, 3404, 3477
7525, -11692, -8145, -220, 4501, 2985
6592, -17040, -3096, -298, 4930, 2559
8606, -13779, 2320, -394, 5709, 1175
7258, -12067, 6424, 75, 5561, 228
6812, -8480, 11304, 595, 5033, -907
2797, -2297, 15601, 473, 3767, -2357
1180, 2375, 15727, 191, 3077, -2811
1493, 5927, 14369, 218, 2261, -2868
2221, 10227, 12109, 626, 1161, -2555
6278, 12059, 8888, 1746, 588, -1474
9087, 11830, 2619, 2342, 654, -193
12145, 11229, -2023, 2515, 1101, 892
12089, 9490, -3203, 2479, 1351, 1164
13950, 8950, -6692, 2438, 1805, 1573
10733, 5228, -10905, 2283, 2095, 2119
9888, 4656, -13010, 1679, 2526, 2785
5792, 1649, -16578, 886, 3123, 3276
2951, 36, -17526, 96, 3608, 3367
-359, -830, -16092, -780, 3908, 3452
-4271, -2200, -16705, -1492, 4055, 3274
-6245, -2053, -15241, -2087, 4156, 2990
-9131, -1848, -13786, -2738, 4280, 2698
-12150, -1832, -11225, -3330, 4234, 2233
-12666, -55, -10390, -3906, 3918, 1736
-12466, 4107, -11252, -4338, 2506, 1575
-11294, 5682, -10499, -4225, 1844, 1635
-10269, 5132, -11177, -4162, 1757, 1705
-9533, 5986, -11923, -4017, 1644, 1924
-7376, 5320, -13687, -3725, 1400, 2337
-6099, 6252, -14525, -3386, 1109, 2490
-7880, 4202, -15169, -3465, 969, 2228
-8788, 2919, -14145, -3547, 960, 2200
-9398, 195, -14221, -3541, 1261, 2366
-8932, -1075, -13526, -3560, 1506, 2428
-9037, -3677, -12877, -3682, 1967, 2375
-10099, -5967, -11812, -3825, 2537, 2251
-10097, -7870, -9972, -3956, 2815, 2080
-10331, -11453, -6198, -4040, 3584, 1524
-9954, -13023, -5558, -4030, 3866, 1219
-8436, -14101, -1693, -4011, 4408, 632
-7036, -15028, 3344, -3661, 4672, -355
-3964, -12474, 8542, -3345, 4540, -1427
1218, -11113, 10034, -2196, 4287, -2358
6251, -8919, 13181, -1246, 3808, -2825
5613, -6925, 12009, -905, 3207, -3011
11894, 2467, 15546, -938, 2609, -3106
9374, -251, 12804, 59, 1444, -2715
10282, 1979, 12394, 199, 740, -2422
8731, 6101, 12336, -65, -32, -2086
7345, 8817, 11086, -558, -442, -1676
5529, 12294, 7705, -919, -1004, -820
5120, 14701, 6067, -1215, -1108, -581
1702, 14930, 4942, -1911, -951, -406
-916, 15753, 4025, -2506, -728, -193
-1455, 15756, 5350, -2623, -581, -734
-1801, 15567, 4595, -2832, -341, -944
-2448, 13590, 7700, -2995, 154, -1566
-2919, 11622, 11183, -2993, 813, -2123
-2952, 8331, 12678, -2913, 1390, -2445
-2569, 6924, 15327, -2590, 1867, -2746
2402, 4400, 15328, -1881, 2317, -3011
5163, 1127, 16582, -1204, 2740, -3108
6037, -245, 15067, -1046, 3109, -3020
5102, -3473, 12054, -1309, 3816, -2859
6369, -3974, 13922, -1023, 3986, -2767
7839, -4277, 14656, -746, 3913, -2705
9050, -3385, 12004, -194, 3992, -2553
8852, -609, 12379, -11, 3754, -2635
6660, 1820, 14475, -402, 3381, -2871
3813, 3780, 16021, -923, 3010, -3083
1105, 5724, 13707, -1352, 2322, -3132
-359, 7165, 14066, -1605, 1927, -3031
-1000, 7813, 14427, -1778, 1842, -3018
230, 8271, 12675, -1913, 1458, -2905
-97, 9781, 12919, -2039, 1329, -2815
-1959, 10660, 12544, -2477, 1148, -2593
-4970, 12772, 9361, -2955, 790, -2066
-4972, 12803, 10481, -3178, 678, -1819
-7522, 11504, 8085, -3719, 613, -1024
-9521, 12951, 2668, -4003, 687, -127
-9766, 12822, 974, -4061, 728, 360
-11483, 12623, -2608, -4091, 932, 1005
-11827, 11707, -6571, -4058, 1147, 1390
-12911, 7555, -7801, -3848, 1913, 2037
-15872, 2355, -6095, -4246, 3326, 1318
