-671,4977,13912
-297,7107,14290
762,9235,13350
1876,11039,11637
3447,12954,9675
4298,14689,6843
3243,15437,4635
3345,15124,2329
3895,15702,-1008
3728,14309,-5592
3835,14976,2620
6244,12829,-11105
1228,8360,-13442
1664,3178,-15947
773,-2329,-16587
-186,-7386,-16038
228,-9399,-14728
495,-13707,-8836
45,-15108,-5487
349,-17055,-857
1303,-16470,963
4107,-14396,5766
5901,-12243,10064
6228,-9601,12248
6359,-5547,14224
3287,-4975,15546
817,-4668,15382
266,-3634,15635
-28,-3403,15781
-2384,-1726,16175
-1353,-469,15805
-927,-575,16107
-2050,-1298,16521
2547,-2796,15782
2701,-2394,15232
2968,-4114,15135
1862,-2702,16392
2651,-2702,16000
3075,-2189,16481
3580,-779,15804
915,-1001,16523
2262,276,16007
318,489,15443
-6697,146,14703
-10473,-961,12196
-13270,-1509,9770
-16234,1985,7019
-16380,4485,169
-15028,5787,-3959
-13445,6653,-6654
-11308,6005,-10183
-7362,5695,-13714
-3646,8666,-15093
448,9211,-14090
-1589,6592,-16805
-3441,7141,-13549
-6504,8224,-14932
-10136,8449,-10838
-13555,6877,-6612
-15477,6283,-2901
-16212,6198,-1233
-15537,4991,70
-14342,6057,-43
-15180,6752,-2007
-13820,8870,-2585
-13615,10134,-2808
-12235,10501,-3172
-11512,11728,-3518
-10504,12699,-4043
-8773,13569,-4771
-7512,13952,-6266
-6156,14170,-6473
-4802,13774,-8054
-3566,13547,-8999
-4,13989,-9977
-241,11762,-11956
2506,10362,-13001
4110,10370,-17183
3912,5279,-14218
2972,1580,-16653
3755,-810,-16063
2363,-4210,-16095
2720,-7139,-15879
2497,-8810,-14939
2430,-9775,-12293
990,-12057,-9848
-1506,-13355,-8559
-4108,-13992,-7798
-5290,-13061,-6173
-5720,-13794,-3850
-8108,-14214,-3758
-8722,-13432,-3171
-6745,-14061,-3647
-2839,-15851,-1133
139,-16354,-1906
2894,-15923,-2657
7544,-15189,-1145
8039,-13027,-2210
12684,-10169,-1826
14841,-5074,1112
15915,-2190,3618
15584,5,6553
12673,920,10132
10666,2392,10614
8925,4571,13082
8475,7751,11354
10244,8925,8422
9833,12299,4931
9680,13065,1912
9497,13924,341
8994,13832,1254
9730,13648,-337
5918,11880,2258
9278,12586,-748
8579,14202,-1753
6473,14409,-3709
3295,15611,-6753
1661,15062,-6807
-1130,16213,-6581
2582,13964,-8132
3970,14007,-8328
4399,13294,-8565
5260,13466,-7859
7076,11048,-8755
6511,11249,-11086
5795,10615,-11312
7216,10336,-11583
6777,10197,-10026
8471,10549,-9396
8599,10397,-8118
11378,10349,-7554
10938,8887,-8009
10090,7125,-9671
10742,7207,-10294
9406,6648,-10673
10110,8281,-10114
9002,8425,-11021
5609,11472,-10467
1816,13223,-9651
-2776,14780,-7019
-3937,15356,-2063
-4927,14678,2773
-3768,14854,5258
-2023,13817,7006
1800,14547,7208
2341,14919,5229
4218,14618,4581
